customer_id,name,email,address,regist_date
1,Caroline Farias,rafaelaribeiro@example.com,"Jardim de Nascimento, 776
Copacabana
83573-790 Ribeiro / PE",03/02/23
2,Daniel da Paz,martinscaue@example.net,"Feira Enzo Oliveira, 81
Vila Do Pombal
50672-719 Pastor de Costela / SE",02/22/21
3,Dr. Davi Lucas Castro,thales99@example.net,"Condomínio Camargo, 297
Granja De Freitas
68827-599 Sales / PI",03/31/24
4,Juan Cardoso,correiafelipe@example.net,"Vila de Pereira, 305
Piraja
90936-021 Dias do Sul / AP",11/04/22
5,Isaque Fogaça,lorenacassiano@example.net,"Estrada Gustavo Henrique Fogaça, 75
Manacas
87811-712 Nogueira / RO",10/24/20
6,Luiz Miguel Alves,bda-rocha@example.com,"Largo João Pedro Nascimento, 56
Marieta 1ª Seção
58146525 Montenegro / PR",01/15/22
7,Gael Henrique Alves,acaldeira@example.net,"Residencial Bruna Cirino, 49
Vila Santa Monica 2ª Seção
82157531 da Mata de Monteiro / RS",11/08/20
8,Dra. Julia Alves,fsouza@example.net,"Praia Pereira, 285
Vila Santo Antônio
67663156 Aragão da Serra / ES",12/13/21
9,Pedro Henrique Cirino,xcavalcante@example.com,"Passarela de da Cruz, 57
Manacas
70092929 Cavalcante / AC",05/23/24
10,Camila Lopes,garaujo@example.org,"Praça de da Conceição, 664
Tres Marias
91329120 Rezende de Pimenta / RO",10/10/20
11,Maitê Cirino,igor30@example.com,"Setor Jade Rocha, 134
Zilah Sposito
83879631 Casa Grande de Goiás / RJ",06/06/23
12,Eloah Vargas,alexiagarcia@example.net,"Vale Martins, 23
Mangueiras
79379-578 Aparecida da Praia / MA",04/02/20
13,Ryan Rezende,valentinaguerra@example.org,"Residencial Pimenta, 41
Vila Madre Gertrudes 3ª Seção
14013346 Almeida / DF",08/31/20
14,Rafaela da Mata,sazevedo@example.org,"Viaduto de Viana, 85
Conjunto Santa Maria
89493909 Ramos / MA",10/19/22
15,Isabela Farias,apollo71@example.com,"Esplanada de Moraes
São Francisco
54017903 Pinto de Pereira / AL",11/28/20
16,Rhavi Aparecida,,,08/18/20
17,Evelyn Duarte,gduarte@example.com,"Rua de Pacheco, 77
Buraco Quente
07864628 Araújo / MS",09/18/21
18,Marina das Neves,peixotothiago@example.net,"Setor de da Rosa, 97
Belvedere
28601281 Monteiro Grande / AM",08/28/22
19,Josué Oliveira,xgarcia@example.org,"Alameda Luara Gonçalves, 70
Carmo
74160-323 Rocha Verde / CE",10/13/20
20,Heloísa Castro,oliveiraemanuella@example.org,"Quadra João Cirino, 94
Esplanada
54857427 Garcia / PE",06/15/22
21,Luiza da Conceição,,"Morro Luiz Miguel Alves, 252
Mineirão
04534-637 Nunes do Oeste / RO",05/04/24
22,Diego Vargas,maria-luisa21@example.com,"Viaduto de Caldeira
Vila Do Pombal
60935-773 Rios de Souza / SP",06/14/21
23,Amanda Nogueira,olima@example.net,"Largo Rafael Brito, 89
Leonina
91342392 Abreu do Amparo / GO",09/23/20
24,Davi Luiz Camargo,vleao@example.com,"Via das Neves
Petropolis
34539423 Farias das Flores / RR",02/12/23
25,Isabel Sá,souzajoao-vitor@example.org,"Distrito Benjamin Marques, 32
Baleia
53748-771 Rios do Oeste / AP",08/08/22
26,Enrico Silveira,thiagosilva@example.org,"Conjunto Fogaça, 30
Mariquinhas
04353120 da Paz / PB",07/22/20
27,Hellena Abreu,ravipacheco@example.com,"Praia de Cunha
Nova Pampulha
64705-298 Farias do Amparo / PA",10/10/20
28,Kaique Cassiano,pastoraylla@example.com,"Fazenda Ferreira, 14
Primeiro De Maio
35494-677 Duarte Verde / MG",01/29/20
29,,marcos-vinicius52@example.com,"Condomínio das Neves, 48
Bacurau
76108881 Pimenta / RJ",02/20/22
30,,vitormacedo@example.org,"Estrada de Novais
Vila Santo Antônio Barroquinha
69931810 Fernandes do Galho / SP",10/14/22
31,Clarice da Luz,levida-rosa@example.com,"Parque Levi Novais, 4
Palmeiras
77932806 Gomes / SC",06/09/21
32,Vitor Hugo Sales,larissafonseca@example.org,"Favela de Rezende, 54
Vila De Sá
92558-001 Costa / AM",06/18/24
33,Ayla Moraes,nicolasmachado@example.com,"Quadra de Porto, 7
Chácara Leonina
33375571 Oliveira / CE",09/02/20
34,Agatha Borges,gustavorios@example.org,"Ladeira Rios, 46
Jardim Vitoria
01933544 Leão Paulista / SC",03/13/23
35,Srta. Clarice Nogueira,yasmin48@example.org,"Campo Brito, 5
Itapoa
31205539 Camargo / MS",05/28/20
36,Matheus Oliveira,joao-guilherme93@example.com,"Vila da Mota, 251
Alto Das Antenas
97096400 Vargas do Galho / MT",09/11/22
37,Joana Cunha,mouranicole@example.com,"Vale Mendes, 726
Alta Tensão 2ª Seção
26900290 Machado / SC",07/13/20
38,,araujosophia@example.com,"Estação Alexia Cavalcante, 733
Tres Marias
64439-463 Sampaio de Fogaça / SP",02/08/22
39,Raquel da Cunha,jmonteiro@example.com,"Aeroporto Ana Liz Andrade, 26
Fernão Dias
18064-536 Porto / MG",08/17/20
40,Luiz Miguel Camargo,uporto@example.org,"Área Borges
Conjunto Celso Machado
63943689 Caldeira de Ramos / SE",05/04/23
41,Sr. Joaquim Barros,maria-julia49@example.net,"Rua Costela, 713
Belvedere
26237141 Ramos / ES",01/10/23
42,Josué Peixoto,caio08@example.net,"Rodovia de Casa Grande, 17
Dom Silverio
53998-618 Araújo da Mata / AL",08/03/22
43,Davi Lucca da Mota,agathada-rosa@example.org,"Pátio Pacheco, 646
Vila Santo Antônio
31354-654 Caldeira / ES",10/11/22
44,Maria Eduarda Oliveira,sda-cunha@example.org,"Lago Fernandes, 56
Coqueiros
24891925 Porto / MT",05/03/24
45,Yuri da Mata,catarina97@example.org,"Residencial Ágatha Aparecida, 75
Solar Do Barreiro
84015-294 da Rocha Grande / PE",07/22/24
46,Gabrielly Moreira,limamarcelo@example.com,"Estação da Mota, 3
Camargos
24025-867 Lima da Mata / CE",08/31/20
47,Mathias Ferreira,wcirino@example.net,"Vila da Rocha, 73
Pousada Santo Antonio
20058-431 Martins / MT",08/10/20
48,Ana Laura Melo,theodorocunha@example.net,"Núcleo Gustavo Azevedo, 91
Eymard
12532628 Monteiro / ES",08/30/22
49,Paulo Gomes,rodriguesyan@example.net,"Estação Luiz Felipe Fernandes, 81
São Francisco Das Chagas
70876798 Pires / PA",02/02/24
50,Joana Freitas,brayancavalcante@example.com,"Rodovia de das Neves, 2
Belvedere
20576-396 da Luz das Flores / SE",04/09/24
51,Milena Carvalho,goncalvesvicente@example.net,"Quadra João Guilherme Borges, 60
Santa Margarida
43694-582 Alves / DF",09/23/22
52,Maria Helena Siqueira,joao95@example.org,"Alameda de Ramos, 65
Vila Madre Gertrudes 4ª Seção
46687173 Moraes de Minas / BA",05/03/21
53,Ana Julia Garcia,mendoncaravi@example.net,"Fazenda de Barbosa, 22
Vila Engenho Nogueira
03982-826 Garcia de Abreu / RO",08/09/21
54,Dra. Amanda Sá,isabellamacedo@example.net,"Campo de Vasconcelos
Vila Madre Gertrudes 1ª Seção
20980-890 Sales / RS",10/15/22
55,Sra. Pietra Sampaio,rvieira@example.net,"Lagoa Pastor, 9
Padre Eustáquio
59646-041 Barros de Moreira / PB",04/07/24
56,,rsilveira@example.org,"Morro Cassiano, 34
Conjunto Minas Caixa
51474-114 Araújo do Galho / PA",01/07/21
57,Daniela Siqueira,alexiafernandes@example.net,"Conjunto de da Rocha, 94
Novo Das Industrias
11757138 Aragão / SP",12/13/21
58,Jade Marques,domandrade@example.org,"Setor Alves
São João
05958717 Martins do Campo / BA",10/05/21
59,Oliver Silva,da-rochaarthur@example.org,"Praia Sophie da Cunha, 27
Vila Jardim Alvorada
09013-946 Lopes / PB",04/07/20
60,Manuella Câmara,joao-guilhermenascimento@example.net,"Condomínio de da Rocha, 92
Madri
01923647 Pacheco / PE",10/25/20
61,Srta. Eloá Garcia,,"Favela de Albuquerque
Ipiranga
47619-229 Marques / SE",05/30/21
62,Catarina Gomes,hadassasales@example.com,"Loteamento Kaique Sousa
Mantiqueira
37940801 Gomes / DF",06/29/20
63,Alice Gomes,asafearagao@example.com,"Jardim Monteiro, 730
Flavio Marques Lisboa
00225-447 Almeida / AL",08/21/23
64,Enzo Sá,benicioabreu@example.org,"Aeroporto Alice Santos, 93
Jardim Do Vale
34996-922 Viana do Galho / MT",02/01/21
65,Rodrigo Cavalcanti,rhavigarcia@example.net,"Travessa de Caldeira, 73
Aparecida 7ª Seção
25902428 Moura / AC",01/27/22
66,Ana Cecília Garcia,rael31@example.com,"Sítio de Moreira
Tiradentes
77046627 Lopes da Serra / MG",07/09/21
67,Ísis Rezende,lopesenzo-gabriel@example.org,"Favela Brayan Cavalcanti, 446
Vila Da Ária
21986689 Pacheco / CE",05/24/20
68,Catarina Lopes,matteofernandes@example.net,"Fazenda Sophia Pereira, 66
Vila Do Pombal
17987-684 Barros / RO",02/17/23
69,Luiz Felipe Sá,alanaaraujo@example.net,"Conjunto Azevedo, 92
Madre Gertrudes
28508809 Nascimento / PE",08/20/22
70,Sra. Brenda Porto,,"Passarela de da Cruz, 78
Vila Da Ária
10144563 Freitas do Amparo / BA",09/04/22
71,Thales da Paz,,"Fazenda Barros, 67
Mangabeiras
03491-740 Barbosa / RO",12/18/21
72,Luiz Henrique Aragão,qalbuquerque@example.org,"Pátio de Machado, 13
Urca
61366-662 Fonseca Alegre / PE",01/03/23
73,André Caldeira,azevedoleonardo@example.net,"Estação Ana Clara Duarte, 68
Vila Aeroporto Jaraguá
97775120 Aparecida dos Dourados / ES",04/26/24
74,Ana Julia Rios,,"Avenida de Aparecida, 39
Itapoa
63400-387 da Cruz / SC",03/13/20
75,Bernardo Cunha,jose-miguel10@example.com,"Favela Erick Caldeira, 6
Vila Copasa
52987-157 Pires de Barbosa / DF",03/27/22
76,Thiago Machado,zoe48@example.com,"Jardim Lima, 5
Vila Canto Do Sabiá
01572-811 Moreira do Campo / PI",04/06/24
77,Srta. Agatha Jesus,caldeiramurilo@example.net,"Conjunto de Santos
Beira Linha
51223624 Alves / RS",03/23/21
78,,silveiraryan@example.com,"Quadra de Castro, 844
Novo São Lucas
55436-799 Camargo Paulista / ES",06/10/23
79,Benicio Gomes,ana-liviada-cunha@example.org,"Recanto de Santos, 8
Conjunto Jatoba
73761685 Rios / TO",11/27/23
80,Camila Barbosa,nsampaio@example.net,"Pátio Ester Gonçalves, 77
Barão Homem De Melo 2ª Seção
09788383 Pereira da Praia / RR",04/11/21
81,Helena Pereira,gabrielasa@example.org,"Parque Alana Souza
Leonina
69017-131 Ramos / DF",11/27/22
82,Maria Liz Vasconcelos,kfonseca@example.org,"Jardim Cardoso, 32
Baleia
27459-904 Silveira / RJ",12/19/23
83,Mariane Moraes,kborges@example.net,"Loteamento Mendonça, 82
Lindéia
22667-795 Pimenta do Oeste / MS",09/15/21
84,Felipe Porto,fernandessamuel@example.com,"Distrito da Conceição, 920
Universitário
14681-727 Cunha / DF",06/02/24
85,Ayla Campos,liam73@example.net,"Estação Cunha, 85
Esperança
61973438 Brito da Praia / AP",12/02/20
86,Pedro Miguel da Mata,qda-mata@example.org,"Viaduto Larissa Viana, 18
Solar Do Barreiro
79921641 Cavalcanti de Machado / RO",10/22/23
87,Dra. Ana Julia Pastor,antonypinto@example.net,"Largo de Souza, 26
Olaria
08264108 da Rocha / RS",05/25/20
88,José Pedro Ribeiro,joanacardoso@example.org,"Quadra de Ramos, 21
Ápia
07786114 Mendes / CE",02/03/21
89,Kevin Pimenta,guilherme41@example.net,"Conjunto Barros, 41
Itatiaia
56648961 Gomes de Ramos / PA",12/17/22
90,Ana Cecília da Cunha,machadoester@example.net,"Vereda Nina da Paz
Delta
01895-660 da Rocha / MA",06/28/24
91,Léo da Cruz,cnovaes@example.net,"Sítio Mendes, 25
Barão Homem De Melo 3ª Seção
51607036 Caldeira das Flores / PE",04/01/21
92,Rebeca Barbosa,ana-juliada-cunha@example.com,,01/20/21
93,,ualbuquerque@example.net,"Vereda de Rezende, 89
Alto Dos Pinheiros
29181576 Barros / SP",03/09/23
94,Caleb Ribeiro,isaque80@example.net,"Aeroporto Erick Sousa, 1
Gutierrez
57976-645 Castro da Praia / AL",06/19/21
95,Kaique Nunes,aurora15@example.net,"Trevo de Sousa, 2
Santa Sofia
96069299 Fogaça das Flores / PI",04/06/24
96,Levi Cunha,epinto@example.org,"Jardim Alícia Vieira, 2
Novo Aarão Reis
50099-167 Andrade / RO",10/01/23
97,Mariana Cavalcante,luiz-miguelpeixoto@example.com,"Setor Farias, 72
Marmiteiros
95611-039 Silveira dos Dourados / SE",02/17/21
98,Josué Pereira,isabella55@example.net,,05/20/22
99,Matteo Silva,moreiraana-clara@example.com,"Condomínio de Azevedo, 22
Vila São Francisco
55642095 Mendes Alegre / ES",02/05/24
100,Ana Cecília Lopes,maria-clarafarias@example.com,"Praça de Vargas, 73
Castanheira
69072610 Borges / SC",06/07/21
101,Isabelly Marques,maria-helenapires@example.net,"Viaduto Alexia Pires, 10
Jardim América
25129796 Pires da Mata / RR",01/28/24
102,Davi Lucca Costela,siqueiracecilia@example.org,"Lago de da Rocha, 63
Vila Piratininga Venda Nova
54300083 Ramos / DF",05/24/24
103,Evelyn Cavalcanti,joaquimlima@example.net,"Lago Monteiro, 4
Mantiqueira
32662405 Pacheco do Campo / SC",06/09/22
104,Gabriel Marques,da-rochabella@example.org,"Feira Helena Sampaio, 522
Vitoria Da Conquista
28257-023 Sales do Oeste / CE",12/15/20
105,Sr. Davi Aragão,erick23@example.com,"Estrada Laura Sampaio, 32
Penha
01419-357 Sampaio de da Cruz / CE",06/12/22
106,Henrique Pacheco,bgoncalves@example.net,"Núcleo Silva, 36
Solar Do Barreiro
99453-148 Aparecida do Oeste / PR",05/21/22
107,Anthony da Cruz,kevin00@example.com,"Favela Garcia, 13
Novo Tupi
55930859 da Rosa de Porto / CE",10/25/21
108,Stella Barbosa,machadomaria@example.net,"Feira Novaes, 74
Alto Das Antenas
65258-560 Barros / SP",05/07/21
109,,limamaria-fernanda@example.com,"Feira Caldeira, 208
São Geraldo
63539-783 Mendonça de Abreu / RN",06/11/22
110,Maria Eduarda Cardoso,agomes@example.net,"Parque da Conceição, 64
São Sebastião
02036-453 Porto Alegre / CE",09/07/20
111,Benício Freitas,valentimazevedo@example.net,"Praça Rios, 29
Mangabeiras
17861423 Andrade / AM",06/10/23
112,Sarah Cardoso,mateus26@example.org,"Alameda Pastor, 6
Centro
69019-824 Leão dos Dourados / BA",07/20/20
113,Yago Monteiro,nathan04@example.com,"Vereda Farias, 85
Carlos Prates
48212293 Pereira da Prata / SP",12/19/22
114,Dr. Yan Brito,qramos@example.com,"Colônia de da Cunha, 8
Alto Caiçaras
40984306 Cavalcanti Alegre / MG",07/28/20
115,Dr. Pedro Miguel Barros,mariamacedo@example.net,"Rua Ana Cecília Pereira
Maria Goretti
05083-387 Leão Grande / DF",05/06/23
116,Ísis Alves,smoura@example.org,"Jardim Vieira, 49
Vila Canto Do Sabiá
48423821 Leão de Pinto / MA",07/05/24
117,Esther Montenegro,bryan62@example.com,"Trevo Almeida, 78
São Bento
89978563 Melo / SC",06/20/23
118,Benjamim Cirino,alexiaaraujo@example.net,"Viela Julia Vieira
Ermelinda
00657-895 Pinto / AC",12/31/22
119,Maria Clara Rezende,bentooliveira@example.com,"Passarela de Camargo, 94
Jatobá
21176-345 Nunes das Pedras / CE",09/12/22
120,Carlos Eduardo Silva,kevinfarias@example.org,"Núcleo Dias, 51
Jardim América
03119-652 Pires do Norte / SP",06/02/23
121,Manuela Almeida,bmoreira@example.net,"Via de Mendes, 354
Vila Fumec
93499-346 Martins Alegre / PB",11/12/22
122,Cecília Rios,riosandre@example.com,"Recanto Silva, 91
Vila Da Luz
35659150 Novais / RR",05/17/21
